m1_msun,m2_msun,scale_factor,redshift,chirp_mass_msun,total_mass_msun,mass_ratio_q,eta,passes_quality_cut
1.384373e+07,1.226118e+06,0.16917400,4.91107378,3.178698e+06,1.506984e+07,0.08856846,0.07474250,1
1.807765e+06,1.346354e+06,0.16918001,4.91086397,1.355205e+06,3.154119e+06,0.74476142,0.24464992,1
2.018305e+08,1.309641e+06,0.16920200,4.91009563,9.811251e+06,2.031402e+08,0.00648882,0.00640542,1
2.276882e+06,1.260926e+06,0.16927999,4.90737266,1.462417e+06,3.537808e+06,0.55379485,0.22938317,1
2.553322e+07,1.184609e+06,0.16933000,4.90562803,4.009111e+06,2.671782e+07,0.04639481,0.04237193,1
1.261335e+06,1.234990e+06,0.16941801,4.90256028,1.086516e+06,2.496324e+06,0.97911347,0.24997216,1
2.645704e+06,1.965249e+06,0.17017899,4.87616587,1.980693e+06,4.610954e+06,0.74280769,0.24455551,1
2.487674e+06,1.344830e+06,0.17048800,4.86551546,1.577539e+06,3.832504e+06,0.54059757,0.22776955,1
2.336492e+07,1.226444e+06,0.17069399,4.85843696,3.946123e+06,2.459137e+07,0.05249081,0.04738563,1
1.423201e+06,1.287051e+06,0.17072800,4.85727011,1.177918e+06,2.710251e+06,0.90433534,0.24936911,1
7.118069e+07,1.314131e+06,0.17088200,4.85199138,6.464561e+06,7.249482e+07,0.01846190,0.01779864,1
2.701683e+07,1.439774e+06,0.17098700,4.84839800,4.603844e+06,2.845660e+07,0.05329175,0.04803553,1
1.963419e+06,1.358242e+06,0.17100599,4.84774823,1.416847e+06,3.321661e+06,0.69177379,0.24170160,1
2.436271e+07,4.604060e+06,0.17138800,4.83471421,8.660439e+06,2.896677e+07,0.18897978,0.13367999,1
2.719693e+06,1.337606e+06,0.17151301,4.83046162,1.640066e+06,4.057299e+06,0.49182225,0.22099071,1
2.151270e+07,1.203754e+06,0.17210101,4.81054128,3.772867e+06,2.271645e+07,0.05595552,0.05018243,1
1.774874e+07,1.448417e+06,0.17251299,4.79666483,3.884986e+06,1.919716e+07,0.08160676,0.06975693,1
1.480647e+06,1.407421e+06,0.17253201,4.79602601,1.256620e+06,2.888068e+06,0.95054483,0.24983929,1
1.590094e+06,1.465090e+06,0.17273600,4.78918104,1.328510e+06,3.055184e+06,0.92138550,0.24958148,1
1.638367e+06,1.272424e+06,0.17282601,4.78616620,1.254942e+06,2.910791e+06,0.77664148,0.24604865,1
1.836743e+08,1.320585e+06,0.17291901,4.78305432,9.494167e+06,1.849949e+08,0.00718982,0.00708753,1
1.792885e+06,1.594582e+06,0.17303100,4.77931115,1.471447e+06,3.387467e+06,0.88939478,0.24914327,1
1.426337e+06,1.188221e+06,0.17358300,4.76093278,1.132380e+06,2.614559e+06,0.83305753,0.24792642,1
6.957293e+06,1.189433e+06,0.17364700,4.75880949,2.335993e+06,8.146726e+06,0.17096207,0.12468497,1
1.755241e+06,1.320623e+06,0.17376301,4.75496487,1.322744e+06,3.075864e+06,0.75238852,0.24500862,1
1.814836e+06,1.546073e+06,0.17395601,4.74857988,1.457301e+06,3.360909e+06,0.85190792,0.24840131,1
1.302619e+06,1.262948e+06,0.17399400,4.74732446,1.116568e+06,2.565567e+06,0.96954533,0.24994023,1
2.875509e+07,4.443062e+06,0.17404900,4.74550829,9.112037e+06,3.319816e+07,0.15451391,0.11592290,1
9.530779e+06,1.344821e+06,0.17425901,4.73858429,2.866719e+06,1.087560e+07,0.14110298,0.10836437,1
1.274343e+07,1.377418e+06,0.17434201,4.73585231,3.285785e+06,1.412085e+07,0.10808848,0.08802997,1
1.693947e+07,1.422418e+06,0.17436200,4.73519447,3.770273e+06,1.836189e+07,0.08397061,0.07146482,1
3.707853e+07,1.305958e+06,0.17437001,4.73493128,4.945383e+06,3.838449e+07,0.03522140,0.03286549,1
1.503366e+06,1.382552e+06,0.17438100,4.73456962,1.254847e+06,2.885918e+06,0.91963803,0.24956187,1
3.270800e+07,1.662548e+07,0.17446201,4.73190705,2.007375e+07,4.933348e+07,0.50830009,0.22343164,1
3.300103e+06,1.448503e+06,0.17446500,4.73180865,1.872212e+06,4.748606e+06,0.43892660,0.21198963,1
7.372734e+07,2.861205e+07,0.17456400,4.72855788,3.912893e+07,1.023394e+08,0.38807918,0.20141502,1
1.436137e+06,1.368040e+06,0.17482100,4.72013646,1.220157e+06,2.804176e+06,0.95258312,0.24985257,1
2.550030e+07,1.290210e+06,0.17488500,4.71804313,4.214316e+06,2.679050e+07,0.05059587,0.04583990,1
1.311147e+06,1.279798e+06,0.17492400,4.71676839,1.127675e+06,2.590945e+06,0.97609022,0.24996340,1
1.246738e+07,3.794007e+06,0.17501800,4.71369810,5.790184e+06,1.626138e+07,0.30431477,0.17887853,1
1.453550e+06,1.428702e+06,0.17513201,4.70997855,1.254517e+06,2.882253e+06,0.98290536,0.24998142,1
3.745837e+06,2.345852e+06,0.17519000,4.70808830,2.566623e+06,6.091689e+06,0.62625573,0.23679582,1
2.188471e+06,2.107854e+06,0.17530000,4.70450649,1.869689e+06,4.296324e+06,0.96316283,0.24991198,1
1.781946e+06,1.222730e+06,0.17554700,4.69648002,1.280488e+06,3.004675e+06,0.68617663,0.24134027,1
1.490877e+06,1.248636e+06,0.17562500,4.69395029,1.186839e+06,2.739513e+06,0.83751781,0.24804526,1
2.049646e+06,1.296847e+06,0.17568401,4.69203781,1.411960e+06,3.346492e+06,0.63271754,0.23734919,1
2.746191e+06,1.371453e+06,0.17572901,4.69058017,1.669618e+06,4.117644e+06,0.49940170,0.22213348,1
1.488264e+06,1.433100e+06,0.17581400,4.68782909,1.271325e+06,2.921364e+06,0.96293408,0.24991086,1
4.224949e+07,1.417857e+06,0.17581899,4.68766760,5.475715e+06,4.366734e+07,0.03355914,0.03141523,1
2.209064e+06,1.469429e+06,0.17581999,4.68763531,1.561997e+06,3.678493e+06,0.66518158,0.23989269,1
3.589386e+06,1.444315e+06,0.17581999,4.68763531,1.942816e+06,5.033701e+06,0.40238501,0.20460077,1
1.952598e+06,1.334448e+06,0.17581999,4.68763531,1.400192e+06,3.287046e+06,0.68342170,0.24115869,1
3.737112e+06,1.935459e+06,0.17623100,4.67437067,2.316520e+06,5.672571e+06,0.51790231,0.22478131,1
1.346137e+06,1.230165e+06,0.17627600,4.67292206,1.120037e+06,2.576302e+06,0.91384872,0.24949342,1
1.917936e+06,1.322112e+06,0.17644000,4.66764904,1.381501e+06,3.240049e+06,0.68934123,0.24154580,1
2.143386e+06,1.580381e+06,0.17655100,4.66408575,1.598530e+06,3.723767e+06,0.73732893,0.24428521,1
1.434593e+06,1.369035e+06,0.17656399,4.66366892,1.219949e+06,2.803627e+06,0.95430204,0.24986331,1
1.438753e+06,1.224681e+06,0.17659000,4.66283496,1.154828e+06,2.663434e+06,0.85121037,0.24838500,1
2.541600e+07,1.847284e+06,0.17706800,4.64754799,5.198390e+06,2.726329e+07,0.07268192,0.06316616,1
